Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Brasil,Cogeração International Paper - Fases I e II,Fuel oil,,Mogi Guaçu - SP,Activa,138,1/8/76,International Paper Do Brasil Ltda.,Privado,São Paulo,International Paper Do Brasil Ltda.,werid coordinates,,-22.2137,-46.5812,138,Fuel oil
Brasil,Petrolina,Diesel,,Petrolina - PE,Activa,136,3/10/02,Companhia Energética De Petrolina,Privado,Petrolina,Companhia Energética De Petrolina,werid coordinates,,-9.2350554,-40.296,136,Diesel
Brasil,Igarapé,Fuel oil,,Juatuba - MG,Activa,131,1/1/63,Cemig Geração E Transmissão S.A,Mixto,Belo Horizonte,Cemig Geração E Transmissão S.A,werid coordinates,,-19.5772,-44.20348,131,Fuel oil
Brasil,Camaçari,Gas natural,,Camaçari - BA,Activa,131,1/1/96,Braskem S/A,Privado,São Paulo,Braskem S/A,werid coordinates,,-12.41528,-38.19264,131,Gas
Brasil,Termocamaçari (Antiga Rômulo Almeida Unidade I),Gas natural,,Camaçari - BA,Activa,120,13/10/2003,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-12.415574,-38.193266,120,Gas
Brasil,Refinaria de Paulínea - REPLAN,Otro,,Paulínia - SP,Activa,107,1/1/76,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-22.4343,-47.741999,107,Gas
Brasil,Alunorte,Carbón,,Barcarena - PA,Activa,104,26/09/2007,Alumina Do Norte Do Brasil S/A,Privado,Barcarena,Alumina Do Norte Do Brasil S/A,werid coordinates,,-1.3229,-48.4357,104,Carbón
Brasil,Açominas,Otro,,Ouro Branco - MG,Activa,103,1/8/02,Gerdau Açominas S/A,Privado,Porto Alegre,Gerdau Açominas S/A,werid coordinates,,-20.312878,-43.403122,103,Gas
Brasil,Flores,Diesel,,Manaus - AM,Activa,95,26/09/2008,Amazonas Geração E Transmissão De Energia S.A,Privado,Cachoeirinha,Amazonas Geração E Transmissão De Energia S.A,werid coordinates,,-3.43733,-60.1281,95,Diesel
Brasil,Unidade de Tratamento de Gás Monteiro Lobato (UTGCA),Gas natural,,Caraguatatuba - SP,Activa,95,16/5/2011,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-23.3992,-45.29578,95,Gas
Brasil,Pau Ferro I,Diesel,,Igarassu - PE,Activa,94,18/06/2009,Centrais Elétricas De Pernambuco S.A.,Privado,Recife,Centrais Elétricas De Pernambuco S.A.,werid coordinates,,-7.51388,-35.178,94,Diesel
Brasil,Tambaqui,Fuel oil,,Manaus - AM,Activa,93,12/1/06,Breitener Tambaqui S.A,Mixto,Manaus,Breitener Tambaqui S.A,werid coordinates,,-3.67,-60.13,93,Fuel oil
Brasil,Juiz de Fora,Gas natural,,Juiz de Fora - MG,Activa,87,1/2/02,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-21.4122,-43.2725,87,Gas
Brasil,Senador Arnon Afonso Farias de Mello - Floresta,Diesel,,Boa Vista - RR,Activa,86,1/1/90,Roraima Energia S.A,Privado,Boa Vista,Roraima Energia S.A,werid coordinates,,-2.494398,-60.424289,86,Diesel
Brasil,Cristiano Rocha,Fuel oil,,Manaus - AM,Activa,85,16/11/2006,Rio Amazonas Energia S/A,Privado,Manaus,Rio Amazonas Energia S/A,werid coordinates,,-2.5333,-60.2,85,Fuel oil
Brasil,Refinaria Henrique Lages (REVAP),Otro,,São José dos Campos - SP,Activa,76,20/03/1980,Petróleo Brasileiro S A Petrobras,Mixto,Rio de Janeiro,Petróleo Brasileiro S A Petrobras,werid coordinates,,-23.1163,-45.49424,76,Gas
Brasil,Jaraqui,Gas natural,,Manaus - AM,Activa,75,5/4/06,Breitener Jaraqui S.A,Mixto,Manaus,Breitener Jaraqui S.A,werid coordinates,,-2.598,-60.138,75,Gas
